"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @keepUSinnovativ: #H1BVisa &amp; #STEMOPT #programs help the #US to #HireAmerican #graduates &amp; retain the highly skilled people needed to #k…",FALSE,0,NA,2018-04-04 20:58:26,FALSE,NA,"981637140546277376",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Yogee_007",3,TRUE,FALSE,NA,NA
"2","RT @keepUSinnovativ: #H1BVisa &amp; #STEMOPT #programs help the #US to #HireAmerican #graduates &amp; retain the highly skilled people needed to #k…",FALSE,0,NA,2018-04-04 20:57:20,FALSE,NA,"981636863290150912",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","kkunapareddy1",3,TRUE,FALSE,NA,NA
"3","RT @keepUSinnovativ: #H1BVisa &amp; #STEMOPT #programs help the #US to #HireAmerican #graduates &amp; retain the highly skilled people needed to #k…",FALSE,0,NA,2018-04-04 20:56:22,FALSE,NA,"981636619026407424",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","priyaursal",3,TRUE,FALSE,NA,NA
"4","#H1BVisa &amp; #STEMOPT #programs help the #US to #HireAmerican #graduates &amp; retain the highly skilled people needed to… https://t.co/zsFQQ1wBCG",FALSE,2,NA,2018-04-04 20:08:18,TRUE,NA,"981624521936556032",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","keepUSinnovativ",3,FALSE,FALSE,NA,NA
"5","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 19:31:15,FALSE,NA,"981615198883794945",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","kwteaparty",28,TRUE,FALSE,NA,NA
"6","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 19:28:37,FALSE,NA,"981614534384234496",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Richard3Donald",28,TRUE,FALSE,NA,NA
"7","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 18:33:58,FALSE,NA,"981600781940871168",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","funEbone2u",28,TRUE,FALSE,NA,NA
"8","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 17:04:01,FALSE,NA,"981578146917986304",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ElenaHaskins",28,TRUE,FALSE,NA,NA
"9","RT @kkunapareddy1: Seriously? In spite of all these reports, high skilled immigrants currently are put in so much pain with #H1BVisa renewa…",FALSE,0,NA,2018-04-04 16:58:43,FALSE,NA,"981576813674618880",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","priyaursal",25,TRUE,FALSE,NA,NA
"10","RT @doug_rand: The #H1BVisa is backwards: ideas from academics, lawmakers, and me on how to (some day) reform the high-skill #immigration s…",FALSE,0,NA,2018-04-04 16:56:38,FALSE,NA,"981576289696980992",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","priyaursal",15,TRUE,FALSE,NA,NA
