"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BrainTrustSite: If you're still using Facebook after reading this then Zuck is right about you.

#DeleteFacebook #MarkZuckerberg #Faceb…",FALSE,0,NA,2018-04-05 05:05:27,FALSE,NA,"981759701582008320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","maga_fedup",9,TRUE,FALSE,NA,NA
"2","RT @MoneyInPolitics: That committee leads the way in @facebook campaign contributions https://t.co/Mxq8Y0EnkZ via @HerbNJDC #MarkZuckerberg…",FALSE,0,NA,2018-04-05 04:59:05,FALSE,NA,"981758098103681024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blake_chambliss",4,TRUE,FALSE,NA,NA
"3","That’s @JulianAssange fir a#reminding ppl what #MarkZuckerberg really thinks of those of us that signed up for Face… https://t.co/rKvs2ehP1J",FALSE,0,NA,2018-04-05 04:45:47,TRUE,NA,"981754752814862336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","poodbit499",0,FALSE,FALSE,NA,NA
"4","RT @DailyBrian:""Give Me Your ..."" https://t.co/Sed0IdwJeB #BenitaVeliz #CIA #DemocraticNationalConvention #FBI… https://t.co/Ynolf68Zu5",FALSE,0,NA,2018-04-05 04:24:07,TRUE,NA,"981749299112529920",NA,"<a href=""http://www.gossipgorilla.com/"" rel=""nofollow"">Gossip Gorilla - SNAP</a>","Gossip_Gorilla",0,FALSE,FALSE,NA,NA
"5","RT @DailyBrian:""Give Me Your ..."" https://t.co/3Lm0OIvURY #BenitaVeliz #CIA #DemocraticNationalConvention #FBI… https://t.co/5wLwDYa3eV",FALSE,0,NA,2018-04-05 04:24:00,TRUE,NA,"981749267328061440",NA,"<a href=""http://www.dailygawker.com/"" rel=""nofollow"">Daily Gawker - SNAP</a>","DailyGawker",0,FALSE,FALSE,NA,NA
"6","RT @DailyBrian:""Give Me Your ..."" https://t.co/Sed0IdwJeB #BenitaVeliz #CIA #DemocraticNationalConvention #FBI… https://t.co/R8sNyWfQtJ",FALSE,0,NA,2018-04-05 04:22:38,TRUE,NA,"981748925559398400",NA,"<a href=""http://www.gossipgorilla.com/"" rel=""nofollow"">Gossip Gorilla - SNAP</a>","Gossip_Gorilla",0,FALSE,FALSE,NA,NA
"7","RT @DailyBrian:""Give Me Your ..."" https://t.co/3Lm0OIvURY #BenitaVeliz #CIA #DemocraticNationalConvention #FBI… https://t.co/dCNC925tNj",FALSE,0,NA,2018-04-05 04:22:34,TRUE,NA,"981748909897928706",NA,"<a href=""http://www.dailygawker.com/"" rel=""nofollow"">Daily Gawker - SNAP</a>","DailyGawker",0,FALSE,FALSE,NA,NA
"8","Is Karma following #MarkZuckerberg? I guess yes! #Facebook #FacebookDataBreach #FacebookDataLeaks",FALSE,0,NA,2018-04-05 04:20:13,FALSE,NA,"981748316223324165",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lasinferencias",0,FALSE,FALSE,NA,NA
"9","@FTC @MarthaStewart did what compared to #MarkZuckerberg why isn’t he arrested",FALSE,0,"FTC",2018-04-05 04:18:18,FALSE,NA,"981747833106784256","187993109","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kernolsooner",0,FALSE,FALSE,NA,NA
"10","#MarkZuckerberg to step down as chairman of FaceBook - #QAnon",FALSE,1,NA,2018-04-05 04:07:36,FALSE,NA,"981745140581765120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","massiveaction",0,FALSE,FALSE,NA,NA
"11","RT @moosecustoms: Hey @facebook #MarkZuckerberg you do realize that HIPPA requires you send a paper copy of the data breech to EVERYONE who…",FALSE,0,NA,2018-04-05 04:07:13,FALSE,NA,"981745044897050626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandybku",5,TRUE,FALSE,NA,NA
"12","Ok. #MarkZuckerberg  aparte de que sabe que quiero aprender coreano, sabe también me gustaría viajar, entonces ...… https://t.co/Bk3cm4rj2J",FALSE,0,NA,2018-04-05 04:02:19,TRUE,NA,"981743811624931328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleojeda199",0,FALSE,FALSE,NA,NA
"13","The latest Breaking LA News! https://t.co/qxTtx0HySV #markzuckerberg #mlk50",FALSE,0,NA,2018-04-05 03:56:50,FALSE,NA,"981742430633512962",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","breakinglanews",0,FALSE,FALSE,NA,NA
"14","‘Episode 50 DR. pepper bbq sauce, #Facebook changes terms of service, #markZuckerberg testifies’ on #SoundCloud #np… https://t.co/JoNj42rpic",FALSE,1,NA,2018-04-05 03:34:54,TRUE,NA,"981736913332850688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZeroSupervision",0,FALSE,FALSE,NA,NA
"15","RT @Eclectic707: Dear Diary,Twitter is a flutter with #MarkZuckerberg #NationalHugANewsPersonDay #WednesdayWisdom.. Give me more #OldSchool…",FALSE,0,NA,2018-04-05 03:22:13,FALSE,NA,"981733720271929345",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","happyhippyshack",6,TRUE,FALSE,NA,NA
"16","#InternetBillOfRights #FaceBook #MarkZuckerberg #QAnon 

It’s not just what Facebook shared it’s also what they’re… https://t.co/A4wKAN61Vm",FALSE,2,NA,2018-04-05 03:07:22,TRUE,NA,"981729984866930688",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","minopulent",0,FALSE,FALSE,NA,NA
