"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AMarieDussault: 622 000 Canadiens touch√©s, le scandale des donn√©es personnelles est beaucoup plus important qu'on croyait sur  #Faceboo‚Ä¶",FALSE,0,NA,2018-04-04 23:50:33,FALSE,NA,"981680451424309248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JPierreLeboeuf",3,TRUE,FALSE,NA,NA
"2","#When will #PosseComitatus be #Trending on #Twitter / #Facebook? ||
#PoliticalScience",FALSE,0,NA,2018-04-04 23:50:24,FALSE,NA,"981680414635982848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TrainingTsar",0,FALSE,FALSE,NA,NA
"3","I downloaded my #facebook data to see what #CambridgeAnalytics got. My life is a complete farce.",FALSE,0,NA,2018-04-04 23:50:23,FALSE,NA,"981680411741999104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jcgrubb",0,FALSE,FALSE,NA,NA
"4","RT @TrumpGuyTV: PREVENT ABUSE WITH MASSIVE ABUSE - THAT MAKES SENSE: #MarkZuckerberg ADMITS #Facebook scans links &amp; pictures people send ba‚Ä¶",FALSE,0,NA,2018-04-04 23:50:20,FALSE,NA,"981680399641448449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArvanGannon",1,TRUE,FALSE,NA,NA
"5","RT @NTelevisa_com: Reporta #Facebook que Cambridge Analytica accedi√≥, en total, a datos de 87 millones de cuentas de la red social https://‚Ä¶",FALSE,0,NA,2018-04-04 23:50:18,FALSE,NA,"981680390745219072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RubenAguirre12",6,TRUE,FALSE,NA,NA
"6","We‚Äôd LOVE it if you‚Äôd LIKE us on #Facebook -&gt; https://t.co/66DU0H4PpF We post good stuff :) #femalefounders‚Ä¶ https://t.co/twQYgPgvur",FALSE,0,NA,2018-04-04 23:50:00,TRUE,NA,"981680316178944001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MelissaOnline",0,FALSE,FALSE,NA,NA
"7","Follow us on #Facebook¬†#kitchener #cambridge #waterloo #kwawesome #cbridge #kitchenerpanthers #kitchenerbaseball‚Ä¶ https://t.co/c3URtW6P5n",FALSE,0,NA,2018-04-04 23:49:41,TRUE,NA,"981680235941785601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blue_chipsports",0,FALSE,FALSE,NA,NA
"8","My block list is getting longer than my friends list. #facebook",FALSE,1,NA,2018-04-04 23:49:40,FALSE,NA,"981680231701344258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaireM_Music",0,FALSE,FALSE,NA,NA
"9","RT @WOAPRadio: #YeahBaby #HeBeReadyToConnectWitU!!&gt;&gt;#TheDuke @johnwayneduke17 #TakinRequests #WhatchaUpTo #Plans #ReachOutNow  #Facebook #J‚Ä¶",FALSE,0,NA,2018-04-04 23:49:26,FALSE,NA,"981680171991420928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnwayneduke17",4,TRUE,FALSE,NA,NA
"10","RT @gbroh10: FACEBOOK BANS 
IMAGE OF JESUS FOR ‚ÄòEXCESSIVELY VIOLENT CONTENT‚Äô

Any need to wonder why #Facebook is in trouble? Ì†æÌ¥¶‚Äç‚ôÇÔ∏è

https:/‚Ä¶",FALSE,0,NA,2018-04-04 23:49:05,FALSE,NA,"981680085928423424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fightin2Bfree",377,TRUE,FALSE,NA,NA
"11","PREVENT ABUSE WITH MASSIVE ABUSE - THAT MAKES SENSE: #MarkZuckerberg ADMITS #Facebook scans links &amp; pictures people‚Ä¶ https://t.co/AstCFsum5c",FALSE,2,NA,2018-04-04 23:49:03,TRUE,NA,"981680076256432130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrumpGuyTV",1,FALSE,FALSE,NA,NA
"12","RT @WOAPRadio: #Peeps  #Follow #BuddyEugene &amp; #Claudia  #Twitter  @BuddyEugene
#Facebook https://t.co/SEIGcS4Kio  #Rockabilly  #Yeah! https‚Ä¶",FALSE,0,NA,2018-04-04 23:48:52,FALSE,NA,"981680029179568129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnwayneduke17",4,TRUE,FALSE,NA,NA
