"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JulianAssannge: Wait until the #FakeNews mainstream media finally realizes that #Amazon customer data was also used for @HillaryClinton…",FALSE,0,NA,2018-04-06 23:31:44,FALSE,NA,"982400494650798080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","dan_stanbery",322,TRUE,FALSE,NA,NA
"2","RT @profcarroll: SCL Group boasted about getting strongman Duterte elected on since-deleted pages of its website. Extrajudicial killing is…",FALSE,0,NA,2018-04-06 23:31:05,FALSE,NA,"982400329282215936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Liabee9",104,TRUE,FALSE,NA,NA
"3","RT @profcarroll: SCL Group boasted about getting strongman Duterte elected on since-deleted pages of its website. Extrajudicial killing is…",FALSE,0,NA,2018-04-06 23:29:10,FALSE,NA,"982399846626856961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuperMoon_2016",104,TRUE,FALSE,NA,NA
"4","RT @profcarroll: More must-see upcoming #CambridgeAnalytica @CommonsCMS committee hearings in Parliament scheduled including Kaiser, Kogan,…",FALSE,0,NA,2018-04-06 23:28:04,FALSE,NA,"982399572503916545",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","s9tmt",19,TRUE,FALSE,NA,NA
"5","RT @profcarroll: SCL Group boasted about getting strongman Duterte elected on since-deleted pages of its website. Extrajudicial killing is…",FALSE,0,NA,2018-04-06 23:28:03,FALSE,NA,"982399565537017856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flightbomb",104,TRUE,FALSE,NA,NA
"6","RT @JulianAssannge: Wait until the #FakeNews mainstream media finally realizes that #Amazon customer data was also used for @HillaryClinton…",FALSE,0,NA,2018-04-06 23:27:04,FALSE,NA,"982399318190587906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CheramieLowrey",322,TRUE,FALSE,NA,NA
"7","RT @profcarroll: SCL Group boasted about getting strongman Duterte elected on since-deleted pages of its website. Extrajudicial killing is…",FALSE,0,NA,2018-04-06 23:25:55,FALSE,NA,"982399031585501184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gstewtwo",104,TRUE,FALSE,NA,NA
"8","RT @profcarroll: SCL Group boasted about getting strongman Duterte elected on since-deleted pages of its website. Extrajudicial killing is…",FALSE,0,NA,2018-04-06 23:25:53,FALSE,NA,"982399020185374720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Q8princess21",104,TRUE,FALSE,NA,NA
"9","RT @profcarroll: Then why did Facebook employees work side-by-side with #CambridgeAnalytica at Parscale’s shop in San Antonio on “Project A…",FALSE,0,NA,2018-04-06 23:25:50,FALSE,NA,"982399011092082689",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jomondrala",68,TRUE,FALSE,NA,NA
"10","RT @profcarroll: Then why did Facebook employees work side-by-side with #CambridgeAnalytica at Parscale’s shop in San Antonio on “Project A…",FALSE,0,NA,2018-04-06 23:25:40,FALSE,NA,"982398969136517121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JAlexBlackwood",68,TRUE,FALSE,NA,NA
