"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @socialstardom: #Facebook admits #Zuckerberg wiped his old #Messenger messages‚Äîwhich you can‚Äôt do Ì†æÌ¥¶Ì†ºÌøª‚Äç‚ôÇÔ∏è

#SocialMedia #data #privacy #Ca‚Ä¶",FALSE,0,NA,2018-04-06 18:54:18,FALSE,NA,"982330674328858630",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twiet2GO",2,TRUE,FALSE,NA,NA
"2","RT @socialstardom: #Facebook admits #Zuckerberg wiped his old #Messenger messages‚Äîwhich you can‚Äôt do Ì†æÌ¥¶Ì†ºÌøª‚Äç‚ôÇÔ∏è

#SocialMedia #data #privacy #Ca‚Ä¶",FALSE,0,NA,2018-04-06 18:52:36,FALSE,NA,"982330247168192512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","duncanwestley",2,TRUE,FALSE,NA,NA
"3","#Facebook admits #Zuckerberg wiped his old #Messenger messages‚Äîwhich you can‚Äôt do Ì†æÌ¥¶Ì†ºÌøª‚Äç‚ôÇÔ∏è

#SocialMedia #data‚Ä¶ https://t.co/MGIgJwj1DM",FALSE,2,NA,2018-04-06 18:50:32,TRUE,NA,"982329728659959809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","socialstardom",2,FALSE,FALSE,NA,NA
"4","Profiles #FB shared w #CambridgeAnalytica jumped from 50 Mil to 74 mil. I suspect that by end number will be closer‚Ä¶ https://t.co/tee5cmOGow",FALSE,0,NA,2018-04-06 01:49:56,TRUE,NA,"982072884771385344",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","Alphorizons",0,FALSE,FALSE,NA,NA
"5","RT @nederlandlang: #Zuckerberg keeps insisting #Facebook doesn‚Äôt sell our #data. What it does is even worse 
#socialmedia #marketing #tech‚Ä¶",FALSE,0,NA,2018-04-04 23:16:12,FALSE,NA,"981671810931527680",NA,"<a href=""https://anethicalthirst.co.uk/"" rel=""nofollow"">Ethics retweet bot</a>","EthicsRetweet",1,TRUE,FALSE,NA,NA
"6","#Zuckerberg keeps insisting #Facebook doesn‚Äôt sell our #data. What it does is even worse 
#socialmedia #marketing‚Ä¶ https://t.co/DXmOeck9QQ",FALSE,0,NA,2018-04-04 22:49:50,TRUE,NA,"981665171717476353",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nederlandlang",1,FALSE,FALSE,NA,NA
"7","#Facebook Says #CambridgeAnalytica Harvested #Data of Up to 87 Million Users - The New York Times
#privacy‚Ä¶ https://t.co/TWg1SQ1Pf3",FALSE,0,NA,2018-04-04 20:55:30,TRUE,NA,"981636399848984578",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nederlandlang",0,FALSE,FALSE,NA,NA
"8","Worried about #Facebook selling your #data for #money ? Come check out our episode that teaches you how to block‚Ä¶ https://t.co/f7rpUyf7kR",FALSE,1,NA,2018-04-04 19:36:42,TRUE,NA,"981616570035208194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZeroSupervision",0,FALSE,FALSE,NA,NA
"9","Steve Bannon on Cambridge Analytica: 'Facebook data is for sale all over the world'#Facebook #data #Zuckerberg‚Ä¶ https://t.co/f3OFhLHOAb",FALSE,1,NA,2018-04-04 19:23:26,TRUE,NA,"981613229787856896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jennpruitt3",0,FALSE,FALSE,NA,NA
"10","#Facebook CEO Mark #Zuckerberg Confirmed to Testify Before House Committee https://t.co/lBRQpbYVnA #Privacy #Data #Tech",FALSE,0,NA,2018-04-04 16:16:16,FALSE,NA,"981566128781774848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","strbrst49",0,FALSE,FALSE,NA,NA
