"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Trumpfan1995: Would you support a Republican mounting a 2020 primary challenge against President Trump? Do vote and retweet. #MAGA #Tru…",FALSE,0,NA,2018-04-05 04:14:41,FALSE,NA,"981746923664101376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoanFr2",2057,TRUE,FALSE,NA,NA
"2","RT @mog7546: THIS IS HOW IT'S DONE

#Trump To Be TAKEN OFF THE ELECTION BALLOT In Maryland Under New Law 

ANY CANDIDATE for that matter, f…",FALSE,0,NA,2018-04-05 04:14:38,FALSE,NA,"981746913363062786",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arturo_stein",1311,TRUE,FALSE,NA,NA
"3","RT @FoxNews: Kimberly Klacik: “#Obama ran on ‘Hope and Change,’ President #Trump ran on ‘Making America Great Again,’ and #Hillary ran on ‘…",FALSE,0,NA,2018-04-05 04:14:38,FALSE,NA,"981746911349649409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","babetcohen",41,TRUE,FALSE,NA,NA
"4","RT @mog7546: BREAKING

#TRUMP’S TOP CRONY, #DEVINNUNES, ACCUSED OF LEAK OF MAJOR CLASSIFIED INFORMATION

Senate Intel's #Burr and #Warner,…",FALSE,0,NA,2018-04-05 04:14:30,FALSE,NA,"981746876759379973",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cwpontwit",105,TRUE,FALSE,NA,NA
"5","RT @mog7546: THIS IS HOW IT'S DONE

#Trump To Be TAKEN OFF THE ELECTION BALLOT In Maryland Under New Law 

ANY CANDIDATE for that matter, f…",FALSE,0,NA,2018-04-05 04:14:28,FALSE,NA,"981746870656446465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Incognita321",1311,TRUE,FALSE,NA,NA
"6","RT @FoxNews: .@LarryOConnor: “I don’t think this is going to be a very easy election for Republicans because, historically, that’s just alw…",FALSE,0,NA,2018-04-05 04:14:28,FALSE,NA,"981746869687775236",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoSurrender357",62,TRUE,FALSE,NA,NA
"7","RT @WilliamJGrondin: Do you admire President Trump? #Vote &amp; #RT #Trump @POTUS",FALSE,0,NA,2018-04-05 04:14:27,FALSE,NA,"981746866177142792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TomSporty05",23,TRUE,FALSE,NA,NA
"8","RT @kwilli1046: #Trump Wants To Use The Military To Guard The Border Until Border Wall Is Built. Do You Agree With The President? Please Vo…",FALSE,0,NA,2018-04-05 04:14:24,FALSE,NA,"981746853346623488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnaDeary",3518,TRUE,FALSE,NA,NA
"9","RT @FoxNews: Kimberly Klacik: “#Obama ran on ‘Hope and Change,’ President #Trump ran on ‘Making America Great Again,’ and #Hillary ran on ‘…",FALSE,0,NA,2018-04-05 04:14:24,FALSE,NA,"981746851983409153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","buddy_laoulach",41,TRUE,FALSE,NA,NA
"10","RT @FoxNews: .@AlanDersh: “If after a year of very thorough investigation…if they couldn’t have shifted [President #Trump] from a subject t…",FALSE,0,NA,2018-04-05 04:14:19,FALSE,NA,"981746834442829824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","noodlespidermo1",511,TRUE,FALSE,NA,NA
