word,count
abolishes,14
accused,2
action,3
additional,2
adept,17
administration,1
admirals,1
admire,1
advantage,1
afirma,2
agency,1
agree,3
al,4
alliance,1
allowed,1
almost,1
also,13
alternative,1
alveda,2
america,21
american,2
announcement,1
announcing,1
annual,60
applicants,2
application,2
approval,61
approvals,1
area,1
arizona,1
arrive,2
article,1
ask,21
assessed,9
asshole,1
ate,1
attorney,11
attract,1
australia,14
australian,14
away,1
back,4
badly,1
ballot,10
beginning,1
begins,1
believe,1
better,1
big,1
bigger,2
biggest,1
bill,19
blocked,1
bomb,2
bombshell,1
border,9
bragging,1
breaking,2
business,3
call,10
cameras,1
campaign,1
canada,1
candidate,10
candidato,1
cap,90
caravana,2
category,2
challenge,7
chances,11
changes,1
charge,1
cheap,2
cities,1
citizens,1
citizenship,1
classified,2
clearing,19
come,1
coming,2
commences,1
commissioner,2
como,1
companies,2
computer,17
con,3
concern,1
congreso,1
consultants,17
continued,1
continues,1
coordination,1
corruption,2
cosponsor,19
counselor,2
country,3
crackdown,1
criminal,1
crooked,1
currently,17
curtail,1
cut,2
daily,1
dallas,1
day,1
dc,1
de,15
deal,4
decir,1
del,1
deploy,2
desplegar,1
destroy,1
detener,2
distraction,1
domain,1
done,10
dropped,2
drum,1
due,60
easy,3
education,2
el,3
election,12
employ,1
employers,11
employment,2
en,2
engineers,1
enjoying,1
enough,2
entiendo,1
error,1
es,1
esfuerzos,2
especially,1
estados,1
estrategia,1
eua,1
ever,1
every,13
everything,1
exceeded,29
excellent,2
exclusive,5
exist,4
expat,14
explosive,1
expressed,1
fake,2
favorited,1
featured,1
fees,10
filing,2
filings,2
finally,1
finest,2
first,2
fiscal,31
flow,2
fnm,1
force,1
foreign,4
foreigners,2
former,2
francisco,1
fraud,17
front,1
frontera,2
full,1
fun,2
fy,63
gave,1
general,2
genie,2
get,5
getting,11
give,1
gives,11
glad,2
go,7
gobierno,1
going,6
good,1
gop,1
governments,1
governor,1
great,20
greatest,3
growth,1
guard,5
guardia,1
h,1
hace,1
happy,2
harder,1
hardworking,11
heart,1
help,5
helping,1
helps,19
hey,3
high,18
highest,1
highly,4
hire,1
hiring,9
history,2
hits,1
holder,4
hope,11
host,1
icymi,22
ideas,12
ignore,1
immediately,1
immigrants,18
immigration,17
improper,1
inc,17
india,13
indian,1
indians,18
inevitably,4
information,4
inste,1
interesting,2
issue,11
issued,89
jobs,2
kicks,1
kill,2
kimberly,20
kimmel,1
king,5
know,5
knows,6
la,9
labor,1
largely,1
last,2
latest,1
law,12
laws,1
leak,2
learn,1
led,1
left,1
legislators,1
liberals,2
life,1
like,1
llamado,1
lo,1
long,1
los,2
lots,1
lottery,1
love,1
loves,2
luck,2
luring,2
luther,2
maier,1
major,2
make,4
makes,2
making,3
many,6
martin,2
maryland,10
materia,1
may,1
members,1
metro,1
mexico,2
middle,1
migrante,2
militarizar,1
military,3
mill,17
mistake,3
mom,2
monday,3
money,2
morena,1
morning,3
mounting,7
mpi,89
msm,2
much,18
multiple,12
must,1
nacional,1
name,2
national,2
nationals,1
navigate,1
nd,1
need,1
needed,6
negugogor,1
nelisse,10
network,1
new,23
news,1
non,1
nuevo,1
number,30
nyc,1
october,1
office,1
opens,2
ordena,1
others,1
outside,1
overruled,1
pain,17
painful,4
para,3
part,2
patriots,1
pattern,2
people,10
perfect,1
permits,1
pero,1
petition,9
petitioners,1
petitions,38
piece,2
plaster,1
please,26
plenty,1
pointed,1
policies,2
policy,1
popular,15
population,1
possible,1
posters,3
prepare,1
pres,1
president,32
presidential,1
primary,7
process,2
proclamation,3
program,1
programmers,1
providers,1
pulling,3
purge,1
push,1
put,18
qbs,3
qualities,1
que,3
question,1
queue,1
ran,60
rasmussen,1
rates,1
real,1
really,3
received,1
recent,29
rechaza,1
recipients,1
recruiting,4
reform,12
reforms,2
regarding,1
regime,1
reject,1
renewal,9
report,1
republican,7
republicans,2
request,11
requested,2
requests,2
responded,1
result,1
retain,4
retweet,2
revealed,1
reveals,29
rt,233
rushed,1
russia,1
safer,2
say,4
says,1
scrutiny,1
season,3
see,10
seeing,1
seminar,1
senado,3
senate,2
send,1
sending,2
severely,1
shifted,4
shout,1
show,1
sign,1
signs,3
silicon,2
since,1
skilled,35
smart,4
soars,1
solicita,1
sovereign,1
spark,2
speaks,1
specificity,2
spider,2
spite,17
spouses,1
spread,2
state,2
stations,1
status,1
staying,4
still,1
story,2
stuck,4
students,2
study,29
subject,4
submit,11
submitted,1
support,7
surprise,1
suspender,1
syria,3
take,2
taken,10
takes,2
tech,3
techies,1
tell,1
tells,1
tener,2
terrible,1
text,1
texts,1
thank,2
things,1
think,4
thinks,2
thorough,4
threat,2
three,60
tier,1
tightened,1
tightening,1
time,23
times,74
today,3
top,3
toughest,1
tracking,1
train,1
transforming,1
trends,1
tried,1
trump,7
turned,1
tv,1
typical,3
u,3
un,2
uncle,2
unidos,1
unmitigated,1
unpacks,1
urgente,1
us,3
usa,1
use,3
using,1
video,1
vie,1
visa,41
visas,103
vote,9
voting,2
wait,4
wall,3
want,18
wants,4
watch,2
way,2
week,2
weekend,1
well,2
whereas,2
window,1
wire,2
without,2
women,1
work,4
workers,4
works,1
would,11
year,35
years,2
young,2
