word,count
Select Topic,60
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
Select Topic,50
Select Topic,45
Select Topic,34
Select Topic,20
Select Topic,5
Select Topic,11
Select Topic,24
